"order_timestamp","user_id","order_number","total_item_amount","total_shipping_fee","total_point_spent"
"2019-06-10 23:18:01.225",9467,"72218267106516140",6500,2500,4000
"2019-06-10 23:23:22.725",6945,"82720667106515283",26000,2500,3000
"2019-06-10 23:25:56.575",186,"67565767106514289",15000,2500,1000
"2019-06-10 23:31:23.306",6662,"80338077106516544",56900,5000,4000
"2019-06-10 23:39:08.752",198,"45784577106519098",143400,0,3000
"2019-06-10 23:39:37.473",3471,"47477577106518138",13500,2500,4000
"2019-06-10 23:45:22.945",775,"64922977106515362",16500,2500,4000
"2019-06-10 23:47:00.516",7987,"91502087106514417",20500,2500,3000
"2019-06-10 23:47:32.52",192,"32525087106510941",49600,2500,2000
"2019-06-10 23:50:52.294",8698,"79225287106516937",61700,5000,4000
"2019-06-10 23:52:44.291",10448,"49246387106515590",41000,2500,3000
"2019-06-10 23:56:47.202",6252,"50270687106517726",70200,0,4000
"2019-06-10 23:58:26.774",932,"87760787106518231",6500,2500,2000
"2019-06-10 23:58:29.718",243,"12790787106510553",63500,0,2000
"2019-06-10 23:58:43.628",2669,"13632787106519144",72700,0,4000
"2019-06-11 00:03:06.568",394,"17568987106514802",36800,2500,3000
"2019-06-11 00:03:38.471",5393,"27481097106516953",40800,2500,1000
"2019-06-11 00:06:46.856",9813,"75860297106512008",49800,2500,1000
"2019-06-11 00:11:41.443",12476,"64410597106513950",23000,2500,4000
"2019-06-11 00:14:52.347",1228,"94329697106518809",23000,2500,4000
"2019-06-11 00:20:14.81",1891,"41841008106511590",11900,2500,0
"2019-06-11 00:21:41.069",3120,"27010108106514860",46000,2500,4000
"2019-06-11 00:28:59.426",1156,"92493508106512968",11900,2500,1000
"2019-06-11 00:30:02.48",1455,"18420608106513212",23000,2500,2000
"2019-06-11 00:41:28.591",961,"29588218106511861",27400,2500,4000
"2019-06-11 00:43:47.967",4334,"96972418106514089",25600,2500,2000
"2019-06-11 00:46:00.526",6508,"72506518106511839",18000,2500,4000
"2019-06-11 00:50:32.324",1274,"82323818106513591",157100,0,4000
"2019-06-11 00:51:16.579",7803,"08567818106515769",4000,2500,4000
"2019-06-11 00:54:28.174",1858,"78186028106513530",44900,5000,3000
"2019-06-11 00:59:55.273",4605,"37259328106515741",27500,2500,4000
"2019-06-11 01:09:47.305",12115,"90378928106511827",18500,2500,1000
"2019-06-11 01:15:44.445",2421,"84444338106518472",74800,0,2000
"2019-06-11 01:16:57.364",6852,"56371438106513493",21600,2500,2000
"2019-06-11 01:18:01.947",2606,"35918438106515932",121110,9500,3000
"2019-06-11 01:24:02.047",5198,"94024838106512956",58300,2500,1000
"2019-06-11 01:35:35.53",7892,"33553548106519895",20900,2000,1000
"2019-06-11 01:36:11.905",7826,"60917548106519510",31400,2500,3000
"2019-06-11 01:36:47.608",1027,"90670648106514984",17500,2500,1000
"2019-06-11 01:55:16.318",1664,"12361758106518709",67900,4500,4000
"2019-06-11 02:03:40.494",2784,"59402268106514827",81100,0,4000
